jugador,nacionalidad,posicion,sub_posición,partidos_jugados,partidos_titular,minutos_disputados,partidos_completos
Julen Agirrezabala,es ESP,Porteros,Portero,18,18,1620,18
Marc Aguado,es ESP,Mediocampistas,Medio_centro_defensivo,28,23,1933,"21,5"
Carles Aleñá,es ESP,Mediocampistas,Medio_centro_ofensivo,29,22,1806,"20,1"
Marcos Alonso,es ESP,Defensas,Defensa_central,24,23,2063,"22,9"
Carlos Álvarez,es ESP,Mediocampistas,Medio_centro_ofensivo,26,22,1786,"19,8"
Jesús Areso,es ESP,Defensas,Lateral_derecho,23,13,1391,"15,5"
Raúl Asencio,es ESP,Defensas,Defensa_central,19,14,1348,15
Alex Baena,es ESP,Mediocampistas,Extremo_izquierdo,20,14,1071,"11,9"
Alejandro Balde,es ESP,Defensas,Lateral_izquierdo,21,18,1513,"16,8"
Ander Barrenetxea,es ESP,Mediocampistas,Extremo_izquierdo,23,16,1362,"15,1"
Pablo Barrios,es ESP,Mediocampistas,Medio_centro_defensivo,21,19,1575,"17,5"
Marc Bartra,es ESP,Defensas,Defensa_central,22,18,1767,"19,6"
Héctor Bellerín,es ESP,Defensas,Lateral_derecho,18,13,1216,"13,5"
Yuri Berchiche,es ESP,Defensas,Lateral_izquierdo,25,24,2113,"23,5"
Álex Berenguer,es ESP,Mediocampistas,Extremo_izquierdo,24,21,1757,"19,5"
Adrian Bernabe,es ESP,Mediocampistas,Medio_centro_defensivo,27,26,2109,"23,4"
Pedro Bigas,es ESP,Defensas,Defensa_central,21,19,1566,"17,4"
Antonio Blanco,es ESP,Mediocampistas,Medio_centro_defensivo,27,27,2316,"25,7"
Abel Bretones,es ESP,Defensas,Lateral_izquierdo,22,15,1417,"15,7"
Hugo Bueno,es ESP,Defensas,Lateral_izquierdo,28,21,1952,"21,7"
Fernando Calero,es ESP,Defensas,Defensa_central,21,18,1594,"17,7"
Sergi Cardona,es ESP,Defensas,Lateral_izquierdo,23,16,1544,"17,2"
José Angel Carmona,es ESP,Defensas,Lateral_derecho,27,22,2002,"22,2"
Sergio Carreira,es ESP,Defensas,Lateral_derecho,25,21,1951,"21,7"
Álvaro Carreras,es ESP,Defensas,Lateral_izquierdo,24,22,1972,"21,9"
Jonny Castro,es ESP,Defensas,Defensa_central,28,28,2454,"27,3"
Alejandro Catena,es ESP,Defensas,Defensa_central,27,27,2351,"26,1"
Pep Chavarría,es ESP,Defensas,Lateral_izquierdo,25,23,2105,"23,4"
Víctor Chust,es ESP,Defensas,Defensa_central,23,19,1792,"19,9"
Santi Comesaña,es ESP,Mediocampistas,Medio_centro_defensivo,27,22,1889,21
José Copete,es ESP,Defensas,Defensa_central,21,19,1759,"19,5"
David Costas,es ESP,Defensas,Defensa_central,19,18,1610,"17,9"
Pau Cubarsí,es ESP,Defensas,Defensa_central,24,24,2102,"23,4"
Marc Cucurella,es ESP,Defensas,Lateral_izquierdo,27,24,2077,"23,1"
Sergi Darder,es ESP,Mediocampistas,Medio_centro_defensivo,29,21,1917,"21,3"
Pedro Díaz,es ESP,Mediocampistas,Medio_centro_defensivo,26,16,1386,"15,4"
Pablo Durán,es ESP,Delanteros,Delantero_centro,22,12,1064,"11,8"
Hugo Duro,es ESP,Delanteros,Delantero_centro,28,17,1555,"17,3"
Aarón Escandell,es ESP,Porteros,Portero,29,29,2610,29
Edu Expósito,es ESP,Mediocampistas,Medio_centro_defensivo,27,23,1812,"20,1"
Aleix Febas,es ESP,Mediocampistas,Medio_centro_ofensivo,28,28,2485,"27,6"
Kiko Femenía,es ESP,Defensas,Lateral_derecho,24,22,1754,"19,5"
Roberto Férnandez,es ESP,Delanteros,Delantero_centro,29,19,1851,"20,6"
Pablo Fornals,es ESP,Mediocampistas,Medio_centro_ofensivo,29,26,2253,25
Jorge de Frutos,es ESP,Delanteros,Delantero_centro,27,26,1912,"21,2"
Iñigo Ruiz de Galarreta,es ESP,Mediocampistas,Medio_centro_defensivo,26,24,1707,19
Aleix García,es ESP,Mediocampistas,Medio_centro_defensivo,27,25,2185,"24,3"
Álvaro García,es ESP,Mediocampistas,Extremo_izquierdo,29,20,1897,"21,1"
Eric García,es ESP,Defensas,Defensa_central,27,25,2170,"24,1"
Joan García,es ESP,Porteros,Portero,23,23,2070,23
Rubén García,es ESP,Mediocampistas,Extremo_derecho,26,20,1625,"18,1"
David de Gea,es ESP,Porteros,Portero,30,30,2700,30
Bryan Gil,es ESP,Mediocampistas,Extremo_izquierdo,23,17,1349,15
Mario Gila,es ESP,Defensas,Defensa_central,27,27,2222,"24,7"
Sergio Gómez,es ESP,Defensas,Lateral_izquierdo,27,23,2062,"22,9"
Nicolás González,es ESP,Mediocampistas,Medio_centro_defensivo,21,15,1376,"15,3"
Urko González,es ESP,Mediocampistas,Medio_centro_defensivo,27,20,1910,"21,2"
Jon Gorrotxategi,es ESP,Mediocampistas,Medio_centro_defensivo,25,22,1908,"21,2"
Álex Grimaldo,es ESP,Defensas,Lateral_izquierdo,22,22,1891,21
Javier Guerra,es ESP,Mediocampistas,Medio_centro_defensivo,28,18,1493,"16,6"
Gorka Guruzeta,es ESP,Delanteros,Delantero_centro,26,20,1686,"18,7"
Mario Hermoso,es ESP,Defensas,Defensa_central,19,17,1451,"16,1"
Jorge Herrando,es ESP,Defensas,Defensa_central,24,14,1399,"15,5"
Sergio Herrera,es ESP,Porteros,Portero,29,29,2610,29
Dean Huijsen,es ESP,Defensas,Defensa_central,21,19,1586,"17,6"
Pablo Ibáñez,es ESP,Mediocampistas,Medio_centro_defensivo,28,22,1740,"19,3"
Juan Antonio Iglesias,es ESP,Defensas,Lateral_derecho,28,27,2380,"26,4"
Borja Iglesias,es ESP,Delanteros,Delantero_centro,26,17,1505,"16,7"
Mikel Jauregizar,es ESP,Mediocampistas,Medio_centro_ofensivo,28,27,2272,"25,2"
Álex Jiménez,es ESP,Defensas,Lateral_derecho,27,22,1958,"21,8"
Mateo Joseph,es ESP,Delanteros,Delantero_centro,28,19,1678,"18,6"
Ferran Jutglà,es ESP,Delanteros,Delantero_centro,21,16,1175,"13,1"
Kiké,es ESP,Delanteros,Delantero_centro,28,13,1337,"14,9"
Koke,es ESP,Mediocampistas,Medio_centro_defensivo,27,18,1725,"19,2"
Adrián de la Fuente,es ESP,Defensas,Defensa_central,25,22,2006,"22,3"
Aymeric Laporte,es ESP,Defensas,Defensa_central,18,17,1489,"16,5"
Robin Le Normand,es ESP,Defensas,Defensa_central,21,13,1333,"14,8"
Adrián Liso,es ESP,Delanteros,Delantero_centro,23,17,1423,"15,8"
Marcos Llorente,es ESP,Defensas,Lateral_derecho,25,21,1861,"20,7"
Diego López,es ESP,Mediocampistas,Extremo_derecho,26,15,1331,"14,8"
Fermin López,es ESP,Mediocampistas,Medio_centro_ofensivo,23,13,1321,"14,7"
Javi López,es ESP,Defensas,Lateral_izquierdo,17,14,1175,"13,1"
Unai López,es ESP,Mediocampistas,Medio_centro_ofensivo,21,15,1211,"13,5"
Pol Lozano,es ESP,Mediocampistas,Medio_centro_defensivo,26,23,1788,"19,9"
José Luis Gayà,es ESP,Defensas,Lateral_izquierdo,25,24,1893,21
Pablo Maffeo,es ESP,Defensas,Lateral_derecho,23,22,1958,"21,8"
Pablo Marín,es ESP,Mediocampistas,Medio_centro_ofensivo,25,12,1101,"12,2"
