Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Matches
1;Brenden Aaronson;us USA;MF,FW;Leeds United;eng Premier League;25-177;2000;22.9;;22;;;;;;;;;;;13;;;;Matches
2;Zach Abbott;eng ENG;DF;Nottingham Forest;eng Premier League;19-339;2006;1.3;;2;;;;;;;;;;;2;;;;Matches
3;Jones El-Abdellaoui;ma MAR;MF,FW;Celta Vigo;es La Liga;20-095;2006;7.1;;3;;;;;;;;;;;3;;;;Matches
4;Himad Abdelli;dz ALG;FW,MF;Marseille;fr Ligue 1;26-151;1999;0.8;;1;;;;;;;;;;;1;;;;Matches
5;Himad Abdelli;dz ALG;MF;Angers;fr Ligue 1;26-151;1999;10.5;;17;;;;;;;;;;;13;;;;Matches
6;Ali Abdi;tn TUN;MF,DF;Nice;fr Ligue 1;32-118;1993;11.5;;8;;;;;;;;;;;10;;;;Matches
7;Salis Abdul Samed;gh GHA;MF;Nice;fr Ligue 1;26-022;2000;7.4;;7;;;;;;;;;;;9;;;;Matches
8;Saud Abdulhamid;sa KSA;MF;Lens;fr Ligue 1;26-273;1999;12.2;;19;;;;;;;;;;;9;;;;Matches
9;Tay Abed;il ISR;MF;Levante;es La Liga;22-040;2004;0.4;;1;;;;;;;;;;;1;;;;Matches
10;Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;33-075;1993;22;;22;;;;;;;;;;;25;;;;Matches
11;Matthis Abline;fr FRA;FW,MF;Nantes;fr Ligue 1;23-020;2003;23.8;;12;;;;;;;;;;;7;;;;Matches
12;Abner;br BRA;DF,MF;Lyon;fr Ligue 1;25-325;2000;18.9;;17;;;;;;;;;;;5;;;;Matches
13;Zakaria Aboukhlal;ma MAR;MF;Torino;it Serie A;26-058;2000;5.7;;12;;;;;;;;;;;1;;;;Matches
14;Abdel Abqar;ma MAR;DF;Getafe;es La Liga;27-038;1999;11.9;;15;;;;;;;;;;;16;;;;Matches
15;Tammy Abraham;eng ENG;FW;Aston Villa;eng Premier League;28-197;1997;2.3;;1;;;;;;;;;;;0;;;;Matches
16;Francis Abu;gh GHA;MF;Toulouse;fr Ligue 1;24-355;2001;5.8;;12;;;;;;;;;;;8;;;;Matches
17;Giorgi Abuashvili;ge GEO;MF,FW;Metz;fr Ligue 1;23-068;2003;6.1;;7;;;;;;;;;;;3;;;;Matches
18;Mathieu Acapandié;mg MAD;DF;Nantes;fr Ligue 1;21-124;2004;0.1;;0;;;;;;;;;;;0;;;;Matches
19;Francesco Acerbi;it ITA;DF;Inter;it Serie A;38-066;1988;13.3;;9;;;;;;;;;;;17;;;;Matches
20;Ragnar Ache;de GER;FW;Köln;de Bundesliga;27-263;1998;18.5;;8;;;;;;;;;;;4;;;;Matches
21;Joshua Acheampong;eng ENG;DF;Chelsea;eng Premier League;19-347;2006;6.4;;7;;;;;;;;;;;11;;;;Matches
22;Akor Adams;ng NGA;FW;Sevilla;es La Liga;26-078;2000;19.5;;2;;;;;;;;;;;0;;;;Matches
