Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches
1;Julen Agirrezabala;es ESP;GK;Valencia;es La Liga;25-111;2000;18;18;1,620;18;30;1.67;79;52;65.8;3;7;8;4;22.2;4;3;1;0;25;Matches
2;Alisson;br BRA;GK;Liverpool;eng Premier League;33-196;1992;25;25;2,250;25;30;1.2;84;56;66.7;13;7;5;8;32;2;2;0;0;0;Matches
3;Nícolas Andrade;br BRA;GK;Pisa;it Serie A;38-004;1988;6;6;540;6;14;2.33;26;12;46.2;1;0;5;0;0;1;0;0;1;;Matches
4;Alphonse Areola;fr FRA;GK;West Ham United;eng Premier League;33-048;1993;20;20;1,800;20;37;1.85;108;76;70.4;4;5;11;0;0;6;5;0;1;0;Matches
5;Paul Argney;fr FRA;GK;Le Havre;fr Ligue 1;19-328;2006;1;1;90;1;1;1;3;2;66.7;1;0;0;0;0;0;0;0;0;;Matches
6;Noah Atubolu;de GER;GK;Freiburg;de Bundesliga;23-326;2002;29;29;2,610;29;47;1.62;134;88;64.9;11;7;11;6;20.7;1;0;1;0;100;Matches
7;Emil Audero;id IDN;GK;Cremonese;it Serie A;29-088;1997;28;28;2,520;28;40;1.43;148;112;75;6;6;16;8;28.6;4;3;1;0;25;Matches
8;Mio Backhaus;de GER;GK;Werder Bremen;de Bundesliga;22-000;2004;27;27;2,430;27;48;1.78;124;81;65.3;6;7;14;5;18.5;5;5;0;0;0;Matches
9;Augusto Batalla;ar ARG;GK;Rayo Vallecano;es La Liga;29-351;1996;30;30;2,700;30;35;1.17;112;82;73.2;8;11;11;9;30;5;5;0;0;0;Matches
10;Daniel Batz;de GER;GK;Mainz 05;de Bundesliga;35-094;1991;17;17;1,530;17;21;1.24;79;59;74.7;7;6;4;3;17.6;1;1;0;0;0;Matches
11;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;35-318;1990;29;29;2,610;29;43;1.48;126;87;69;15;6;8;6;20.7;6;4;0;2;0;Matches
12;Altay Bay?nd?r;tr TUR;GK;Manchester Utd;eng Premier League;28-002;1998;6;6;540;6;11;1.83;24;13;54.2;2;1;3;0;0;0;0;0;0;;Matches
13;Walter Benítez;ar ARG;GK;Crystal Palace;eng Premier League;33-087;1993;1;1;90;1;0;0;3;3;100;0;1;0;1;100;1;0;0;1;;Matches
14;Lucas Bergström;fi FIN;GK;Mallorca;es La Liga;23-223;2002;5;5;450;5;7;1.4;22;15;68.2;1;2;2;2;40;0;0;0;0;;Matches
15;Justin Bijlow;nl NED;GK;Genoa;it Serie A;28-084;1998;11;11;990;11;16;1.45;43;31;72.1;5;1;5;3;27.3;4;4;0;0;0;Matches
16;Marco Bizot;nl NED;GK;Aston Villa;eng Premier League;35-037;1991;6;5;495;5.5;9;1.64;25;17;68;2;2;1;2;40;1;1;0;0;0;Matches
17;Janis Blaswich;de GER;GK;Leverkusen;de Bundesliga;34-349;1991;10;9;841;9.3;8;0.86;41;33;80.5;4;4;1;3;33.3;0;0;0;0;;Matches
18;Arnaud Bodart;be BEL;GK;Lille;fr Ligue 1;28-036;1998;3;2;226;2.5;3;1.19;6;4;66.7;0;0;2;0;0;1;1;0;0;0;Matches
19;Jean Butez;fr FRA;GK;Como;it Serie A;30-312;1995;32;32;2,880;32;26;0.81;99;77;77.8;16;10;6;15;46.9;5;4;1;0;20;Matches
20;Elia Caprile;it ITA;GK;Cagliari;it Serie A;24-234;2001;32;32;2,880;32;44;1.37;146;103;71.2;8;9;15;7;21.9;2;2;0;0;0;Matches
21;Dani Cárdenas;es ESP;GK;Rayo Vallecano;es La Liga;29-019;1997;1;1;90;1;3;3;4;1;25;0;0;1;0;0;0;0;0;0;;Matches
22;Patrik Carlgren;se SWE;GK;Nantes;fr Ligue 1;34-098;1992;2;1;92;1;2;1.96;5;3;60;0;1;0;0;0;0;0;0;0;;Matches
23;Marco Carnesecchi;it ITA;GK;Atalanta;it Serie A;25-289;2000;32;32;2,880;32;28;0.87;115;89;76.5;14;11;7;12;37.5;3;1;2;0;66.7;Matches
24;Lucas Chevalier;fr FRA;GK;Paris Saint-Germain;fr Ligue 1;24-161;2001;17;17;1,530;17;13;0.76;43;32;72.1;12;3;2;9;52.9;3;1;1;1;50;Matches
25;Edoardo Corvi;it ITA;GK;Parma;it Serie A;25-024;2001;16;16;1,440;16;18;1.13;59;43;74.6;7;4;5;6;37.5;3;3;0;0;0;Matches
26;Grégoire Coudert;fr FRA;GK;Brest;fr Ligue 1;27-013;1999;19;18;1,652;18.4;28;1.53;81;57;69.1;9;2;7;6;33.3;4;3;1;0;25;Matches
27;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;33-340;1992;28;28;2,520;28;24;0.86;78;58;74.4;21;3;4;11;39.3;4;4;0;0;0;Matches
28;Pablo Cuñat;es ESP;GK;Levante;es La Liga;23-353;2002;2;2;180;2;5;2.5;16;11;68.8;0;0;2;0;0;0;0;0;0;;Matches
29;Finn Dahmen;de GER;GK;Augsburg;de Bundesliga;28-020;1998;29;29;2,610;29;53;1.83;125;79;62.4;9;6;14;5;17.2;7;6;1;0;14.3;Matches
30;Karl Darlow;wls WAL;GK;Leeds United;eng Premier League;35-190;1990;16;16;1,440;16;20;1.25;60;42;70;4;6;6;3;18.8;2;2;0;0;0;Matches
