Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
1;Brenden Aaronson;us USA;MF,FW;Leeds United;eng Premier League;25-156;2000;30;24;1,975;21.9;4;3;7;4;0;0;1;0;0.18;0.14;0.32;0.18;0.32;Matches
2;Zach Abbott;eng ENG;DF;Nottingham Forest;eng Premier League;19-318;2006;2;1;120;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;Matches
3;Jones El-Abdellaoui;ma MAR;MF,FW;Celta Vigo;es La Liga;20-074;2006;19;4;593;6.6;2;0;2;2;0;0;0;0;0.3;0;0.3;0.3;0.3;Matches
4;Himad Abdelli;dz ALG;FW,MF;Marseille;fr Ligue 1;26-130;1999;4;0;67;0.7;0;0;0;0;0;0;1;0;0;0;0;0;0;Matches
5;Himad Abdelli;dz ALG;MF;Angers;fr Ligue 1;26-130;1999;13;11;943;10.5;2;0;2;0;2;2;1;0;0.19;0;0.19;0;0;Matches
6;Ali Abdi;tn TUN;DF,MF;Nice;fr Ligue 1;32-097;1993;16;11;928;10.3;1;0;1;1;0;0;4;1;0.1;0;0.1;0.1;0.1;Matches
7;Salis Abdul Samed;gh GHA;MF;Nice;fr Ligue 1;26-001;2000;14;9;663;7.4;0;0;0;0;0;0;3;0;0;0;0;0;0;Matches
8;Saud Abdulhamid;sa KSA;MF;Lens;fr Ligue 1;26-252;1999;20;10;1,008;11.2;1;3;4;1;0;0;2;0;0.09;0.27;0.36;0.09;0.36;Matches
9;Tay Abed;il ISR;MF;Levante;es La Liga;22-019;2004;3;0;30;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;Matches
10;Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;33-054;1993;23;23;1,982;22;1;0;1;1;0;0;6;0;0.05;0;0.05;0.05;0.05;Matches
11;Matthis Abline;fr FRA;FW,MF;Nantes;fr Ligue 1;22-364;2003;25;21;1,992;22.1;5;3;8;5;0;1;5;0;0.23;0.14;0.36;0.23;0.36;Matches
12;Abner;br BRA;DF,MF;Lyon;fr Ligue 1;25-304;2000;19;18;1,521;16.9;3;0;3;3;0;0;4;1;0.18;0;0.18;0.18;0.18;Matches
